asset_id,filename,bin_path,file_path,used_in_timeline,notes
aerial-view-of-greenwich-in-london-showing-the-old-royal-naval-college-greenwich-pa-SBV-352018302-HD,aerial-view-of-greenwich-in-london-showing-the-old-royal-naval-college-greenwich-pa-SBV-352018302-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/aerial-view-of-greenwich-in-london-showing-the-old-royal-naval-college-greenwich-pa-SBV-352018302-HD.mp4,yes,
airplane-flight-view-from-the-window-of-the-plane-airplane-aircraft-traveling-by-ai-SBV-348519311-HD,airplane-flight-view-from-the-window-of-the-plane-airplane-aircraft-traveling-by-ai-SBV-348519311-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/airplane-flight-view-from-the-window-of-the-plane-airplane-aircraft-traveling-by-ai-SBV-348519311-HD.mp4,yes,
airplane-descending-towards-airport-runway-silhouetted-against-vibrant-sunset-sky-w-SBV-354829123-HD,airplane-descending-towards-airport-runway-silhouetted-against-vibrant-sunset-sky-w-SBV-354829123-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/airplane-descending-towards-airport-runway-silhouetted-against-vibrant-sunset-sky-w-SBV-354829123-HD.mp4,no,
aerial-view-of-sunrise-through-airplane-window-in-the-morning-aerial-view-of-clouds-SBV-336811293-HD,aerial-view-of-sunrise-through-airplane-window-in-the-morning-aerial-view-of-clouds-SBV-336811293-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/aerial-view-of-sunrise-through-airplane-window-in-the-morning-aerial-view-of-clouds-SBV-336811293-HD.mp4,no,
captivating-sunrise-view-from-an-airplane-window-with-a-wing-tip-over-soft-clouds-a-SBV-352039064-HD,captivating-sunrise-view-from-an-airplane-window-with-a-wing-tip-over-soft-clouds-a-SBV-352039064-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/captivating-sunrise-view-from-an-airplane-window-with-a-wing-tip-over-soft-clouds-a-SBV-352039064-HD.mp4,yes,
antwerp-flanders-belgiumaugust-2019-high-angle-view-of-the-modern-part-of-the-train-SBV-337886880-HD,antwerp-flanders-belgiumaugust-2019-high-angle-view-of-the-modern-part-of-the-train-SBV-337886880-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/antwerp-flanders-belgiumaugust-2019-high-angle-view-of-the-modern-part-of-the-train-SBV-337886880-HD.mp4,no,
closeup-globe-showing-north-america-geography-in-educational-detailed-map-object-ro-SBV-352895882-HD,closeup-globe-showing-north-america-geography-in-educational-detailed-map-object-ro-SBV-352895882-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/closeup-globe-showing-north-america-geography-in-educational-detailed-map-object-ro-SBV-352895882-HD.mp4,yes,
captivating-views-from-an-airplane-window-during-your-journey-in-the-sky-above-the--SBV-352940276-HD,captivating-views-from-an-airplane-window-during-your-journey-in-the-sky-above-the--SBV-352940276-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/captivating-views-from-an-airplane-window-during-your-journey-in-the-sky-above-the--SBV-352940276-HD.mp4,yes,
macro-close-up-of-elegant-vintage-pocket-watch-with-roman-numerals-and-blue-dial-de-SBV-352875678-HD,macro-close-up-of-elegant-vintage-pocket-watch-with-roman-numerals-and-blue-dial-de-SBV-352875678-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/macro-close-up-of-elegant-vintage-pocket-watch-with-roman-numerals-and-blue-dial-de-SBV-352875678-HD.mp4,yes,
view-from-the-porthole-of-an-airplane-on-a-blue-sky-and-clouds-airplane-wing-throug-SBV-348363136-HD,view-from-the-porthole-of-an-airplane-on-a-blue-sky-and-clouds-airplane-wing-throug-SBV-348363136-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/view-from-the-porthole-of-an-airplane-on-a-blue-sky-and-clouds-airplane-wing-throug-SBV-348363136-HD.mp4,yes,
compass-magnetic-north-lost-hd-compass-specially-rigged-to-show-unstable-north-moti-SBV-316350585-HD,compass-magnetic-north-lost-hd-compass-specially-rigged-to-show-unstable-north-moti-SBV-316350585-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/compass-magnetic-north-lost-hd-compass-specially-rigged-to-show-unstable-north-moti-SBV-316350585-HD.mp4,no,
moving-mechanism-of-clock-in-slow-motion-analogue-pocket-watch-slow-motion-ticking--SBV-316082957-HD,moving-mechanism-of-clock-in-slow-motion-analogue-pocket-watch-slow-motion-ticking--SBV-316082957-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/moving-mechanism-of-clock-in-slow-motion-analogue-pocket-watch-slow-motion-ticking--SBV-316082957-HD.mp4,no,
wind-turns-the-pages-of-open-book-with-bright-sunset-light-reading-education-concep-SBV-347523826-HD,wind-turns-the-pages-of-open-book-with-bright-sunset-light-reading-education-concep-SBV-347523826-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/wind-turns-the-pages-of-open-book-with-bright-sunset-light-reading-education-concep-SBV-347523826-HD.mp4,no,
vintage-style-travel-and-adventure-vintage-old-compass-and-other-vintage-items-on-t-SBV-347359807-HD,vintage-style-travel-and-adventure-vintage-old-compass-and-other-vintage-items-on-t-SBV-347359807-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/vintage-style-travel-and-adventure-vintage-old-compass-and-other-vintage-items-on-t-SBV-347359807-HD.mp4,no,
captivating-sunrise-view-from-an-airplane-window-with-a-wing-tip-over-soft-clouds-a-SBV-352039064-HD (1),captivating-sunrise-view-from-an-airplane-window-with-a-wing-tip-over-soft-clouds-a-SBV-352039064-HD (1).mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/captivating-sunrise-view-from-an-airplane-window-with-a-wing-tip-over-soft-clouds-a-SBV-352039064-HD (1).mp4,no,
young-professional-waits-for-a-meeting-hand-with-a-clock-close-up-looks-at-the-time-SBV-318420761-HD,young-professional-waits-for-a-meeting-hand-with-a-clock-close-up-looks-at-the-time-SBV-318420761-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/young-professional-waits-for-a-meeting-hand-with-a-clock-close-up-looks-at-the-time-SBV-318420761-HD.mp4,yes,
new-york-new-york-usa-september-15-2015-a-left-to-right-pan-of-the-interior-of-gran-SBV-353446900-HD,new-york-new-york-usa-september-15-2015-a-left-to-right-pan-of-the-interior-of-gran-SBV-353446900-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/new-york-new-york-usa-september-15-2015-a-left-to-right-pan-of-the-interior-of-gran-SBV-353446900-HD.mp4,no,
closeup-of-male-hands-setting-wrist-watch-using-clock-crown-while-working-on-laptop-SBV-348643339-HD,closeup-of-male-hands-setting-wrist-watch-using-clock-crown-while-working-on-laptop-SBV-348643339-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/closeup-of-male-hands-setting-wrist-watch-using-clock-crown-while-working-on-laptop-SBV-348643339-HD.mp4,yes,
airplane-window-view-flight-flying-airborne-plane-aircraft-in-the-air-SBV-307894260-HD,airplane-window-view-flight-flying-airborne-plane-aircraft-in-the-air-SBV-307894260-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/airplane-window-view-flight-flying-airborne-plane-aircraft-in-the-air-SBV-307894260-HD.mp4,no,
female-hand-holding-plane-miniature-against-the-blue-sky-in-illuminator-air-travel--SBV-323401526-HD,female-hand-holding-plane-miniature-against-the-blue-sky-in-illuminator-air-travel--SBV-323401526-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/female-hand-holding-plane-miniature-against-the-blue-sky-in-illuminator-air-travel--SBV-323401526-HD.mp4,yes,
4k-timelapse-sequence-of-cayambe-ecuador-the-shadow-motions-in-the-quitsato-sundial-SBV-347010372-HD,4k-timelapse-sequence-of-cayambe-ecuador-the-shadow-motions-in-the-quitsato-sundial-SBV-347010372-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/4k-timelapse-sequence-of-cayambe-ecuador-the-shadow-motions-in-the-quitsato-sundial-SBV-347010372-HD.mp4,no,
